specieslabel,trait
Turborotalita_clarkei,131.341
Turborotalita_quinqueloba,189.922
Globoturborotalita_rubescens,208.504
Turborotalita_humilis,213.87
Globoturborotalita_tenella,216.209
Globigerina_falconensis,246.169
Globorotalia_scitula,259.912
Neogloboquadrina_pachyderma,263.91
Globigerinoides_ruber,265.722
Beella_digitata,272.218
Globoconella_inflata,310.951
Globigerinella_calida,334.164
Globorotalia_crassaformis,356.501
Globorotalia_truncatulinoides,415.109
Trilobatus_sacculifer,419.921
Neogloboquadrina_dutertrei,423.095
Globorotaloides_hexagonus,424.522
Globigerina_bulloides,429.72
Globigerinella_siphonifera,435.51
Pulleniatina_obliquiloculata,477.139
Globigerinoides_conglobatus,489.538
Globorotalia_hirsuta,590.502
Orbulina_universa,614.285
Globoquadrina_conglomerata,644.709
Sphaeroidinella_dehiscens,654.56
Globorotalia_menardii,794.82
Globorotalia_tumida,898.651
Globigerinella_adamsi,-1
Globorotalia_theyeri,-1
Globorotalia_ungulata,-1
Globorotalia_bermudezi,-1
Globorotalia_cavernula,-1
